sf,ue_index,qci,data_rate_kbits,hol_delay_ms,deadline_misses,packets,hol_delay_ms_sum
846000,1,0,0,0,0,0,0
846000,3,0,0,0,0,0,0
846000,5,0,0,0,0,0,0
846000,7,0,0,0,0,0,0
846000,10,0,0,0,0,0,0
846000,11,0,0,0,0,0,0
846000,13,0,0,0,0,0,0
846000,15,0,0,0,0,0,0
847000,1,7,202,2,0,87,1724
847000,3,0,0,0,0,0,0
847000,5,0,0,0,0,0,0
847000,7,0,0,0,0,0,0
847000,10,0,0,0,0,0,0
847000,11,9,186,281,290,577,121699
847000,13,5,165,2,0,1,2
847000,15,9,15609,538,260,540,123715
848000,1,7,271,2,0,145,340
848000,3,0,0,0,0,0,0
848000,5,0,0,0,0,0,0
848000,7,0,0,0,0,0,0
848000,10,7,4809,17,0,135,1309
848000,11,9,15245,544,941,1000,719254
848000,13,5,165,2,0,1,2
848000,15,9,7432,6,29,68,15856
849000,1,7,262,2,0,181,956
849000,3,0,0,0,0,0,0
849000,5,0,0,0,0,0,0
849000,7,0,0,0,0,0,0
849000,10,7,4794,18,0,165,1596
849000,11,9,10864,1521,1000,1000,966478
849000,13,5,165,2,0,1,2
849000,15,9,13735,332,77,337,60118
849000,1,7,262,2,0,181,956
849000,3,0,0,0,0,0,0
849000,5,0,0,0,0,0,0
849000,7,0,0,0,0,0,0
849000,10,7,4794,18,0,165,1596
849000,11,9,10864,1521,1000,1000,966478
849000,13,5,165,2,0,1,2
849000,15,9,13735,332,77,337,60118
850000,1,7,311,2,0,189,525
850000,3,0,0,0,0,0,0
850000,5,0,0,0,0,0,0
850000,7,0,0,0,0,0,0
850000,10,7,5748,17,0,197,2362
850000,11,9,44,1390,999,999,1071819
850000,13,5,165,2,0,1,2
850000,15,9,12404,384,110,369,72641
851000,1,7,268,2,0,141,282
851000,3,0,0,0,0,0,0
851000,5,0,0,0,0,0,0
851000,7,0,0,0,0,0,0
851000,10,7,4762,16,0,148,1367
851000,11,9,14176,404,963,963,1146311
851000,13,5,165,2,0,1,2
851000,15,9,5834,4,14,42,5461
852000,1,7,259,2,0,227,1847
852000,3,0,0,0,0,0,0
852000,5,0,0,0,0,0,0
852000,7,0,0,0,0,0,0
852000,10,7,4252,45,0,186,2023
852000,11,9,66,1103,968,968,828821
852000,13,5,170,2,0,3,6
852000,15,9,11995,317,36,303,47730
853000,1,7,256,2,0,172,356
853000,3,0,0,0,0,0,0
853000,5,9,0,2,0,1,2
853000,7,0,0,0,0,0,0
853000,10,7,4565,19,0,154,1557
853000,11,9,7372,1332,977,977,1472196
853000,13,5,157,2,0,7,14
853000,15,9,10683,203,294,499,160210
854000,1,7,252,2,0,204,479
854000,3,0,0,0,0,0,0
854000,5,0,0,0,0,0,0
854000,7,0,0,0,0,0,0
854000,10,7,4739,17,0,162,1582
854000,11,9,288,1218,952,952,1052093
854000,13,5,235,2,0,7,14
854000,15,9,12205,227,0,218,24302
855000,1,7,203,2,0,90,930
855000,3,0,0,0,0,0,0
855000,5,0,0,0,0,0,0
855000,7,0,0,0,0,0,0
855000,10,7,3916,18,0,165,1740
855000,11,9,795,1104,979,979,1380448
855000,13,5,200,9,0,11,50
855000,15,9,12504,183,242,459,126134
856000,1,7,216,2,0,74,498
856000,3,0,0,0,0,0,0
856000,5,0,0,0,0,0,0
856000,7,0,0,0,0,0,0
856000,10,7,3858,19,0,208,2753
856000,11,9,1351,1050,958,958,1257219
856000,13,5,146,2,0,12,24
856000,15,9,11744,148,172,399,92962
857000,1,7,180,2,0,60,120
857000,3,0,0,0,0,0,0
857000,5,0,0,0,0,0,0
857000,7,0,0,0,0,0,0
857000,10,7,4718,18,0,172,1733
857000,11,9,1771,1069,966,966,1294387
857000,13,5,150,2,0,14,28
857000,15,9,10826,109,211,444,113693
858000,1,7,40,2,0,18,36
858000,3,0,0,0,0,0,0
858000,5,0,0,0,0,0,0
858000,7,0,0,0,0,0,0
858000,10,7,1453,3,0,148,1432
858000,11,9,2980,1043,946,946,1049066
858000,13,5,124,2,0,17,34
858000,15,9,11302,85,0,186,20262
859000,1,7,109,2,0,75,500
859000,3,0,0,0,0,0,0
859000,5,0,0,0,0,0,0
859000,7,0,0,0,0,0,0
859000,10,7,4684,17,0,204,2464
859000,11,9,3625,1059,957,957,1247880
859000,13,5,145,2,0,1,2
859000,15,9,11086,73,153,403,89825
860000,1,7,190,2,0,85,833
860000,3,0,0,0,0,0,0
860000,5,0,0,0,0,0,0
860000,7,0,0,0,0,0,0
860000,10,7,4634,19,0,212,2592
860000,11,9,2311,2069,997,997,1466510
860000,13,5,145,2,0,1,2
860000,15,9,11452,55,642,878,436109
861000,1,7,243,2,0,63,126
861000,3,0,0,0,0,0,0
861000,5,0,0,0,0,0,0
861000,7,0,0,0,0,0,0
861000,10,7,0,804,765,860,321449
861000,11,9,15504,933,897,897,1541972
861000,13,5,140,2,0,1,2
861000,15,9,6461,1047,764,968,496566
862000,1,7,207,2,0,20,40
862000,3,0,0,0,0,0,0
862000,5,0,0,0,0,0,0
862000,7,0,0,0,0,0,0
862000,10,7,15,1005,1000,1000,654517
862000,11,9,9930,21,0,34,508
862000,13,5,145,2,0,1,2
862000,15,9,14989,1023,899,899,696450
863000,1,7,243,2,0,67,134
863000,3,0,0,0,0,0,0
863000,5,9,0,2,0,144,288
863000,7,0,0,0,0,0,0
863000,10,7,10,303,997,997,735984
863000,11,9,13957,327,38,279,44801
863000,13,5,145,2,0,1,2
863000,15,9,15359,958,919,919,886078
864000,1,7,243,2,0,77,663
864000,3,0,0,0,0,0,0
864000,5,0,0,0,0,0,0
864000,7,0,0,0,0,0,0
864000,10,7,5,1305,998,998,799678
864000,11,9,15350,549,244,493,136139
864000,13,5,280,2,0,3,6
864000,15,9,14393,938,929,929,1121773
865000,1,7,208,2,0,66,132
865000,3,0,0,0,0,0,0
865000,5,0,0,0,0,0,0
865000,7,0,0,0,0,0,0
865000,10,7,34,405,996,996,406470
865000,11,9,14755,380,86,359,64902
865000,13,5,140,2,0,1,2
865000,15,9,15036,882,918,918,965768
866000,1,7,239,2,0,101,1002
866000,3,0,0,0,0,0,0
866000,5,0,0,0,0,0,0
866000,7,0,0,0,0,0,0
866000,10,7,4662,18,103,325,38344
866000,11,9,10467,853,538,842,295088
866000,13,5,140,2,0,1,2
866000,15,9,13249,594,363,613,221203
867000,1,7,243,2,0,93,1186
867000,3,0,0,0,0,0,0
867000,5,0,0,0,0,0,0
867000,7,0,0,0,0,0,0
867000,10,7,4623,20,0,185,1984
867000,11,9,10182,849,948,948,1166902
867000,13,5,165,2,0,1,2
867000,15,9,10924,511,215,507,126882
868000,1,7,243,2,0,111,1723
868000,3,0,0,0,0,0,0
868000,5,0,0,0,0,0,0
868000,7,0,0,0,0,0,0
868000,10,7,4691,20,0,188,2029
868000,11,9,4,1670,973,973,1215336
868000,13,0,0,0,0,0,0
868000,15,9,9533,781,442,693,268156
869000,1,7,243,2,0,26,53
869000,3,0,0,0,0,0,0
869000,5,0,0,0,0,0,0
869000,7,0,0,0,0,0,0
869000,10,7,4761,19,0,159,1648
869000,11,9,9866,748,892,892,1597605
869000,13,5,153,2,0,1,2
869000,15,9,10548,49,56,125,47676
870000,1,7,225,2,0,109,1718
870000,3,0,0,0,0,0,0
870000,5,0,0,0,0,0,0
870000,7,0,0,0,0,0,0
870000,10,7,4589,19,0,191,2125
870000,11,9,9672,1718,933,933,1137091
870000,13,5,187,2,0,2,4
870000,15,9,14047,244,0,271,39135
871000,1,7,241,2,0,70,340
871000,3,0,0,0,0,0,0
871000,5,0,0,0,0,0,0
871000,7,0,0,0,0,0,0
871000,10,7,19,403,317,496,72983
871000,11,9,13959,1695,911,911,1148812
871000,13,5,211,3,0,2,5
871000,15,9,15469,225,0,302,45101
872000,1,7,281,2,0,80,710
872000,3,0,0,0,0,0,0
872000,5,0,0,0,0,0,0
872000,7,0,0,0,0,0,0
872000,10,7,0,905,994,994,471326
872000,11,9,14729,535,907,907,1055463
872000,13,5,179,2,0,1,2
