sf,ue_index,qci,data_rate_kbits,hol_delay_ms,deadline_misses,packets,hol_delay_ms_sum
4384000,1,0,0,0,0,0,0
4384000,3,9,0,2,0,1,2
4384000,5,0,0,0,0,0,0
4384000,7,0,0,0,0,0,0
4384000,10,0,0,0,0,0,0
4384000,11,0,0,0,0,0,0
4384000,13,0,0,0,0,0,0
4384000,15,0,0,0,0,0,0
4385000,1,9,0,765,465,764,292994
4385000,3,9,1831,56,0,518,18492
4385000,5,9,3914,40,0,277,5442
4385000,7,9,4043,26,0,277,6139
4385000,10,9,3328,59,0,537,19048
4385000,11,9,1618,266,0,766,128450
4385000,13,7,3981,18,0,136,1333
4385000,15,0,0,0,0,0,0
4386000,1,9,0,1765,1000,1000,1265500
4386000,3,9,3998,40,0,466,12589
4386000,5,9,4011,20,0,225,2971
4386000,7,9,3163,55,0,567,17477
4386000,10,9,1894,57,0,772,31206
4386000,11,9,1699,563,856,1000,396980
4386000,13,7,4017,17,0,170,1658
4386000,15,0,0,0,0,0,0
4387000,1,9,0,2765,1000,1000,2265500
4387000,3,9,3930,43,0,404,8739
4387000,5,9,3976,23,0,209,2493
4387000,7,9,2567,52,0,598,18778
4387000,10,9,2005,54,0,797,33009
4387000,11,9,1882,661,1000,1000,601970
4387000,13,7,4009,18,0,171,1699
4387000,15,0,0,0,0,0,0
4388000,1,9,0,3765,1000,1000,3265500
4388000,3,9,3974,41,0,409,8956
4388000,5,9,3959,21,0,208,2450
4388000,7,9,2436,49,0,599,18851
4388000,10,9,2074,51,0,796,32941
4388000,11,9,1727,858,1000,1000,789111
4388000,13,7,4029,16,0,163,1531
4388000,15,0,0,0,0,0,0
4389000,1,9,0,4765,1000,1000,4265500
4389000,3,9,3987,43,0,420,9427
4389000,5,9,4000,23,0,221,2755
4389000,7,9,1792,46,0,614,19794
4389000,10,9,2282,49,0,813,34317
4389000,11,9,1821,1156,1000,1000,1015378
4389000,13,7,3974,19,0,171,1684
4389000,15,0,0,0,0,0,0
4390000,1,9,0,5765,1000,1000,5265500
4390000,3,9,2748,21,0,250,3805
4390000,5,9,488,8,0,94,761
4390000,7,9,3970,41,0,466,11987
4390000,10,9,1966,46,0,669,23813
4390000,11,9,4427,452,1000,1000,907716
4390000,13,7,3985,17,0,178,1798
4390000,15,0,0,0,0,0,0
4391000,1,9,2311,6263,1000,1000,6107681
4391000,3,9,1479,39,0,483,13343
4391000,5,9,422,8,0,75,390
4391000,7,9,4003,29,0,314,5525
4391000,10,9,3157,43,0,518,14330
4391000,11,9,2247,48,133,899,115017
4391000,13,7,4018,17,0,168,1644
4391000,15,0,0,0,0,0,0
4391000,1,9,2311,6263,1000,1000,6107681
4391000,3,9,1479,39,0,483,13343
4391000,5,9,422,8,0,75,390
4391000,7,9,4003,29,0,314,5525
4391000,10,9,3157,43,0,518,14330
4391000,11,9,2247,48,133,899,115017
4391000,13,7,4018,17,0,168,1644
4391000,15,0,0,0,0,0,0
4392000,1,9,2502,6160,1000,1000,6169012
4392000,3,9,1488,37,0,571,17198
4392000,5,9,449,8,0,60,299
4392000,7,9,3997,29,0,285,4445
4392000,10,9,2891,41,0,479,12172
4392000,11,9,2285,45,0,834,36112
4392000,13,7,4036,17,0,170,1697
4392000,15,0,0,0,0,0,0
4393000,1,9,2786,6158,1000,1000,6172706
4393000,3,9,1453,35,0,579,17689
4393000,5,9,554,9,0,81,443
4393000,7,9,3973,30,0,285,4454
4393000,10,9,2394,38,0,476,12038
4393000,11,9,2315,43,0,833,36029
4393000,13,7,3973,18,0,164,1553
4393000,15,0,0,0,0,0,0
4394000,1,9,2613,6155,1000,1000,6164757
4394000,3,9,1446,33,0,585,17984
4394000,5,9,667,10,0,84,479
4394000,7,9,3966,30,0,287,4488
4394000,10,9,1952,35,0,478,12156
4394000,11,9,2519,41,0,842,36765
4394000,13,7,4011,17,0,162,1519
4394000,15,0,0,0,0,0,0
4395000,1,9,2677,6152,1000,1000,6164362
4395000,3,9,1634,30,0,586,18120
4395000,5,9,550,10,0,80,458
4395000,7,9,3842,30,0,287,4520
4395000,10,9,1810,33,0,483,12413
4395000,11,9,2407,38,0,840,36650
4395000,13,7,3995,18,0,164,1569
4395000,15,0,0,0,0,0,0
4396000,1,9,2797,6150,1000,1000,6164615
4396000,3,9,1500,28,0,587,18173
4396000,5,9,667,10,0,71,398
4396000,7,9,3603,28,0,289,4574
4396000,10,9,1877,30,0,487,12624
4396000,11,9,2601,36,0,839,36536
4396000,13,7,4036,17,0,172,1719
4396000,15,0,0,0,0,0,0
4397000,1,9,2728,6147,1000,1000,6164067
4397000,3,9,1778,25,0,596,18762
4397000,5,9,839,11,0,89,550
4397000,7,9,3146,26,0,295,4757
4397000,10,9,1899,28,0,485,12525
4397000,11,9,2801,33,0,842,36697
4397000,13,7,4023,17,0,165,1595
4397000,15,0,0,0,0,0,0
4398000,1,9,2878,6145,1000,1000,6164709
4398000,3,9,1739,22,0,593,18582
4398000,5,9,418,9,0,81,465
4398000,7,9,3172,23,0,287,4542
4398000,10,9,1955,25,0,486,12593
4398000,11,9,2707,31,0,843,36893
4398000,13,7,4026,16,0,163,1546
4398000,15,0,0,0,0,0,0
4399000,1,9,3180,6142,1000,1000,6189276
4399000,3,9,1654,20,0,588,18260
4399000,5,9,450,3,0,54,276
4399000,7,9,2246,20,0,288,4558
4399000,10,9,2006,22,0,489,12692
4399000,11,9,2745,28,0,839,36518
4399000,13,7,3899,22,0,183,1948
4399000,15,0,0,0,0,0,0
4400000,1,9,3164,6139,1000,1000,6172306
4400000,3,9,1872,17,0,590,18415
4400000,5,9,429,3,0,41,181
4400000,7,9,2265,17,0,279,4316
4400000,10,9,2070,19,0,478,12209
4400000,11,9,2882,25,0,839,36544
4400000,13,7,3955,19,0,175,1774
4400000,15,0,0,0,0,0,0
4401000,1,9,3251,6136,1000,1000,6171318
4401000,3,9,2098,14,0,590,18415
4401000,5,9,460,3,0,31,122
4401000,7,9,1920,15,0,277,4253
4401000,10,9,2077,16,0,467,11676
4401000,11,9,2948,23,0,841,36752
4401000,13,7,3914,20,0,179,1850
4401000,15,0,0,0,0,0,0
4402000,1,9,3457,6133,1000,1000,6171107
4402000,3,9,1831,12,0,591,18435
4402000,5,9,215,10,0,54,290
4402000,7,9,1828,12,0,274,4174
4402000,10,9,2157,13,0,467,11700
4402000,11,9,3085,21,0,842,36764
4402000,13,7,4024,17,0,166,1604
4402000,15,0,0,0,0,0,0
4403000,1,9,3483,6130,1000,1000,6188330
4403000,3,9,1797,9,0,590,18380
4403000,5,9,166,2,0,23,93
4403000,7,9,1882,10,0,285,4485
4403000,10,9,2265,11,0,477,12096
4403000,11,9,3109,18,0,839,36477
4403000,13,7,3450,16,0,181,1890
4403000,15,0,0,0,0,0,0
4404000,1,9,3713,6128,1000,1000,6170560
4404000,3,9,1943,6,0,593,18573
4404000,5,9,168,2,0,23,94
4404000,7,9,1909,7,0,273,4174
4404000,10,9,2277,8,0,464,11558
4404000,11,9,3364,16,0,838,36430
