sf,ue_index,qci,data_rate_kbits,hol_delay_ms,deadline_misses,packets,hol_delay_ms_sum
903000,2,0,0,0,0,0,0
903000,5,0,0,0,0,0,0
903000,8,0,0,0,0,0,0
903000,10,0,0,0,0,0,0
903000,11,0,0,0,0,0,0
903000,14,0,0,0,0,0,0
903000,17,0,0,0,0,0,0
903000,19,0,0,0,0,0,0
904000,2,9,4433,28,0,219,4696
904000,5,9,2164,3,0,170,4636
904000,8,7,4761,16,0,48,445
904000,10,9,279,102,0,177,3344
904000,11,9,1729,102,0,151,4666
904000,14,9,219,103,0,175,3934
904000,17,9,1979,3,0,150,2566
904000,19,9,2658,2,0,192,4848
905000,2,9,1422,202,0,1000,140553
905000,5,9,16,604,342,1000,207535
905000,8,7,4797,17,0,160,1510
905000,10,9,4378,222,0,990,111504
905000,11,9,34,503,245,977,176847
905000,14,9,3558,102,0,1000,129397
905000,17,9,3512,103,0,1000,113667
905000,19,9,813,202,0,1000,129383
906000,2,9,3645,14,0,1000,90884
906000,5,9,0,1607,1000,1000,1073051
906000,8,7,4783,17,0,160,1505
906000,10,9,2839,2,0,950,84642
906000,11,9,0,1506,1000,1000,976063
906000,14,9,3301,2,0,968,84722
906000,17,9,794,102,0,982,82130
906000,19,9,2933,114,0,965,85852
907000,2,9,2456,2,0,678,13038
907000,5,9,0,2609,1000,1000,2073128
907000,8,7,4752,17,0,160,1498
907000,10,9,1537,2,0,620,11623
907000,11,9,1139,2409,1000,1000,1967711
907000,14,9,3077,22,0,597,12106
907000,17,9,1986,2,0,618,15497
907000,19,9,3130,2,0,684,14070
908000,2,9,1679,2,0,509,7578
908000,5,9,0,3612,1000,1000,3073135
908000,8,7,4794,16,0,161,1485
908000,10,9,2297,14,0,524,7809
908000,11,9,5890,2609,1000,1000,2686640
908000,14,9,2164,2,0,466,6513
908000,17,9,532,7,0,482,5764
908000,19,9,323,2,0,572,7960
909000,2,9,2073,2,0,413,5923
909000,5,9,0,4614,1000,1000,4073118
909000,8,7,4784,17,0,160,1503
909000,10,9,1359,2,0,389,5412
909000,11,9,6382,1606,999,999,2130146
909000,14,9,2338,16,0,484,7191
909000,17,9,204,2,0,399,1668
909000,19,9,385,3,0,480,1826
910000,2,9,2304,3,0,572,8603
910000,5,9,0,5617,1000,1000,5073417
910000,8,7,4775,17,0,160,1494
910000,10,9,1366,3,0,308,4072
910000,11,9,6595,604,1000,1000,1134723
910000,14,9,1920,3,0,468,6812
910000,17,9,342,2,0,415,1487
910000,19,9,376,2,0,325,1476
911000,2,9,3056,2,0,620,9476
911000,5,9,3667,6217,1000,1000,6001853
911000,8,7,4412,14,0,158,1472
911000,10,9,2227,2,0,410,7416
911000,11,9,1432,2,381,679,185416
911000,14,9,1886,2,0,597,9079
911000,17,9,289,3,0,488,1742
911000,19,9,976,73,0,539,3754
912000,2,9,3313,2,0,663,10172
912000,5,9,3602,6218,1000,1000,6198198
912000,8,7,3743,12,0,157,1460
912000,10,9,2367,2,0,447,6454
912000,11,9,1566,3,0,397,5633
912000,14,9,2047,3,0,538,8085
912000,17,9,419,77,0,517,1653
912000,19,9,1134,39,0,582,2779
913000,2,9,1912,2,0,649,9918
913000,5,9,4218,6209,1000,1000,6220500
913000,8,7,3066,9,0,157,1470
913000,10,9,4419,76,0,403,5694
913000,11,9,2066,3,0,509,7549
913000,14,9,2478,2,0,497,7295
913000,17,9,768,25,0,519,1764
913000,19,9,452,73,0,636,2479
914000,2,9,4297,81,0,674,10341
914000,5,9,4392,6209,1000,1000,6221258
914000,8,7,2321,6,0,157,1491
914000,10,9,4995,57,0,401,5650
914000,11,9,5129,27,0,425,6107
914000,14,9,2225,3,0,603,9203
914000,17,9,549,57,0,615,2346
914000,19,9,715,57,0,428,1590
915000,2,9,4705,45,0,456,6652
915000,5,9,4647,6209,999,999,6214826
915000,8,7,1597,3,0,158,1472
915000,10,9,4985,25,0,444,6358
915000,11,9,4941,64,0,583,8708
915000,14,9,4490,84,0,604,9192
915000,17,9,375,25,0,489,1570
915000,19,9,1019,41,0,598,2577
916000,2,9,5455,27,0,439,6353
916000,5,9,4301,6208,1000,1000,6221280
916000,8,7,4780,17,0,158,1474
916000,10,9,4268,75,0,469,6710
916000,11,9,4414,61,0,559,8340
916000,14,9,5478,47,0,622,9504
916000,17,9,399,42,0,543,1625
916000,19,9,1003,74,0,603,2994
917000,2,9,4779,77,0,619,9344
917000,5,9,3667,6205,1000,1000,6219292
917000,8,7,4789,17,0,160,1512
917000,10,9,4357,58,0,487,6968
917000,11,9,5410,27,0,464,6792
917000,14,9,4823,47,0,517,7638
917000,17,9,426,59,0,515,1510
917000,19,9,800,75,0,673,3094
918000,2,9,5780,27,0,451,6582
918000,5,9,3451,6203,1000,1000,6217513
918000,8,7,4754,17,0,160,1500
918000,10,9,4161,74,0,572,8372
918000,11,9,4763,59,0,512,7586
918000,14,9,4674,47,0,557,8332
918000,17,9,164,2,0,556,1615
918000,19,9,835,73,0,577,2519
919000,2,9,5994,26,0,597,9013
919000,5,9,2503,6201,1000,1000,6126540
919000,8,7,4809,16,0,160,1485
919000,10,9,4462,76,0,489,7216
919000,11,9,4556,58,0,485,7087
919000,14,9,4672,46,0,528,7839
919000,17,9,435,59,0,505,1575
919000,19,9,787,75,0,629,2685
920000,2,9,4820,27,0,418,5929
920000,5,9,1975,6198,1000,1000,6125906
920000,8,7,4783,17,0,160,1502
920000,10,9,4499,75,0,561,8086
920000,11,9,4858,59,0,541,8100
920000,14,9,4870,46,0,551,8289
920000,17,9,401,59,0,608,2306
920000,19,9,831,74,0,655,3039
921000,2,9,5491,43,0,590,8876
921000,5,9,1213,6117,1000,1000,6123739
921000,8,7,4780,17,0,160,1503
921000,10,9,5453,26,0,540,7806
921000,11,9,4219,79,0,473,6924
921000,14,9,4515,67,0,508,7444
921000,17,9,105,2,0,630,1797
921000,19,9,1246,42,0,516,2458
922000,2,9,4382,78,0,605,9239
922000,5,9,1362,6118,1000,1000,6122747
922000,8,7,4742,17,0,160,1492
922000,10,9,4432,59,0,485,7096
922000,11,9,5998,27,0,542,8029
922000,14,9,4990,47,0,460,6634
922000,17,9,437,60,0,559,1796
922000,19,9,213,2,0,665,2695
923000,2,9,4726,44,0,506,7519
923000,5,9,1444,6118,1000,1000,6122826
923000,8,7,4759,17,0,160,1505
923000,10,9,5926,27,0,555,8178
923000,11,9,3252,75,0,504,7164
923000,14,9,4669,67,0,538,7968
923000,17,9,104,2,0,507,1451
923000,19,9,1080,43,0,658,3042
924000,2,9,3950,73,0,616,9118
924000,5,9,1427,6117,1000,1000,6122637
924000,8,7,4790,16,0,160,1499
924000,10,9,4748,59,0,561,8262
924000,11,9,4900,28,0,392,5808
924000,14,9,4776,46,0,532,7857
924000,17,9,76,2,0,550,1611
924000,19,9,316,2,0,648,2917
925000,2,9,3046,71,0,530,7719
925000,5,9,1476,6117,1000,1000,6122135
925000,8,7,4803,17,0,160,1505
925000,10,9,5411,27,0,566,8390
925000,11,9,4702,46,0,426,6168
925000,14,9,4435,64,0,613,9319
925000,17,9,575,28,0,493,1955
925000,19,9,238,2,0,654,2590
926000,2,9,4735,45,0,540,8516
926000,5,9,1477,6118,1000,1000,6122064
926000,8,7,4807,17,0,160,1493
926000,10,9,1667,67,0,614,8364
926000,11,9,5210,28,0,432,6291
926000,14,9,4725,67,0,558,8336
926000,17,9,177,2,0,610,1553
926000,19,9,1127,43,0,572,3000
927000,2,9,897,66,0,556,7482
927000,5,9,1611,6117,1000,1000,6122615
927000,8,7,4782,16,0,160,1499
927000,10,9,5866,27,0,581,9032
927000,11,9,4835,46,0,485,7152
927000,14,9,4623,65,0,516,7602
927000,17,9,515,28,0,507,1490
927000,19,9,362,2,0,640,3039
928000,2,9,5604,45,0,639,10680
928000,5,9,1526,6118,1000,1000,6122856
928000,8,7,4844,17,0,161,1505
928000,10,9,771,2,0,544,6927
928000,11,9,4122,63,0,526,7751
928000,14,9,4950,31,0,458,6645
928000,17,9,176,2,0,643,1672
928000,19,9,1339,44,0,550,3000
929000,2,9,920,2,0,651,9150
929000,5,9,1863,6118,1000,1000,6122931
929000,8,7,4769,17,0,160,1503
929000,10,9,4220,59,0,517,7941
929000,11,9,5328,29,0,414,6149
929000,14,9,5313,48,0,550,8181
929000,17,9,83,2,0,494,1313
929000,19,9,395,2,0,634,3143
930000,2,9,1288,2,0,612,9343
930000,5,9,1762,6117,1000,1000,6122254
930000,8,7,4790,17,0,160,1505
930000,10,9,5588,27,0,554,8201
930000,11,9,3949,57,0,436,6280
930000,14,9,4663,47,0,558,8351
930000,17,9,104,2,0,411,1163
930000,19,9,438,2,0,674,4153
931000,2,9,753,2,0,609,9271
931000,5,9,2034,6118,1000,1000,6122004
931000,8,7,4784,17,0,160,1499
931000,10,9,3690,54,0,484,6747
931000,11,9,5432,28,0,428,6358
931000,14,9,4917,48,0,628,9501
931000,17,9,4,2,0,413,992
931000,19,9,435,2,0,659,3360
932000,2,9,5473,45,0,649,10606
932000,5,9,1992,6118,1000,1000,6121139
932000,8,7,4792,16,0,160,1493
932000,10,9,5220,27,0,498,7536
932000,11,9,1037,52,0,405,5160
932000,14,9,1181,2,0,609,8492
932000,17,9,371,45,0,375,1375
932000,19,9,1192,45,0,626,3300
933000,2,9,964,2,0,567,7892
933000,5,9,1904,6117,1000,1000,6121440
933000,8,7,4768,17,0,160,1505
933000,10,9,1973,49,0,545,7585
933000,11,9,5927,28,0,523,8411
933000,14,9,5057,48,0,537,8696
933000,17,9,275,56,0,550,1586
933000,19,9,480,2,0,600,2920
934000,2,9,1683,2,0,617,9375
934000,5,9,1754,6117,1000,1000,6120997
934000,8,7,4809,16,0,160,1498
934000,10,9,3015,43,0,506,6748
934000,11,9,4767,34,0,451,6538
934000,14,9,2080,51,0,573,8073
934000,17,9,2416,17,0,548,2439
934000,19,9,374,2,0,608,3175
935000,2,9,2586,47,0,646,10022
935000,5,9,2286,6117,1000,1000,6121601
935000,8,7,4781,17,0,160,1494
935000,10,9,413,2,0,417,3528
935000,11,9,4804,27,0,443,6341
935000,14,9,1383,2,0,636,9571
935000,17,9,3638,40,0,415,3546
935000,19,9,503,3,0,615,3220
936000,2,9,1731,2,0,678,10323
936000,5,9,2364,6117,1000,1000,6121809
936000,8,7,4774,17,0,160,1489
936000,10,9,71,2,0,329,1397
936000,11,9,1020,2,0,401,4990
936000,14,9,5590,32,0,572,9135
936000,17,9,3970,42,0,501,6956
936000,19,9,655,2,0,652,3806
937000,2,9,3692,41,0,561,8792
937000,5,9,2168,6218,1000,1000,6130285
937000,8,7,4756,16,0,160,1493
937000,10,9,231,46,0,155,501
937000,11,9,5555,28,0,476,7503
937000,14,9,1277,3,0,568,8004
937000,17,9,1882,3,0,588,8565
937000,19,9,437,2,0,635,3740
938000,2,9,1911,2,0,664,9804
938000,5,9,2302,6218,1000,1000,6217924
938000,8,7,4879,17,0,161,1515
938000,10,9,5,2,0,190,424
938000,11,9,3033,38,0,438,6163
938000,14,9,1019,2,0,475,6951
938000,17,9,5622,29,0,634,10171
938000,19,9,780,2,0,606,3736
939000,2,9,1675,2,0,660,10164
939000,5,9,2641,6218,1000,1000,6223631
939000,8,7,4773,17,0,160,1485
939000,10,9,249,46,0,200,532
939000,11,9,961,2,0,420,5806
939000,14,9,2000,2,0,624,9463
939000,17,9,5154,30,0,491,7221
939000,19,9,1673,30,0,651,3874
940000,2,9,2055,2,0,655,10027
940000,5,9,2726,6218,1000,1000,6227158
940000,8,7,4784,16,0,160,1490
940000,10,9,19,2,0,305,610
940000,11,9,5346,31,0,447,6831
940000,14,9,1536,35,0,572,8621
940000,17,9,1274,2,0,544,7732
940000,19,9,704,2,0,603,3194
941000,2,9,5963,31,0,589,9236
941000,5,9,2965,6318,1000,1000,6250368
941000,8,7,4792,17,0,160,1476
941000,10,9,85,2,0,385,770
941000,11,9,1089,2,0,488,6830
941000,14,9,1320,3,0,496,7306
941000,17,9,1735,2,0,647,9872
941000,19,9,649,2,0,621,3407
942000,2,9,2109,2,0,552,7908
942000,5,9,3124,6317,1000,1000,6318722
942000,8,7,4798,16,0,160,1504
942000,10,9,7,2,0,301,790
942000,11,9,1536,2,0,520,7704
942000,14,9,1160,2,0,592,8951
942000,17,9,5106,29,0,579,8978
942000,19,9,700,3,0,559,2969
943000,2,9,2382,2,0,606,9158
943000,5,9,2819,6317,1000,1000,6319359
943000,8,7,4777,17,0,160,1504
943000,10,9,176,2,0,326,865
943000,11,9,1462,2,0,490,7276
943000,14,9,4487,27,0,583,9010
943000,17,9,1418,2,0,588,8579
943000,19,9,706,2,0,534,2801
944000,2,9,1226,2,0,591,8923
944000,5,9,3382,6217,1000,1000,6306013
944000,8,7,4758,17,0,160,1488
944000,10,9,27,2,0,307,748
944000,11,9,2949,23,0,552,8293
944000,14,9,1525,2,0,433,6001
944000,17,9,2063,2,0,631,9599
944000,19,9,1907,14,0,702,3619
945000,2,9,2434,2,0,644,9813
945000,5,9,3534,6218,1000,1000,6228286
945000,8,7,4785,17,0,160,1488
945000,10,9,53,2,0,354,915
945000,11,9,2865,20,0,439,6411
945000,14,9,1438,2,0,529,7864
945000,17,9,2147,2,0,652,9925
945000,19,9,679,2,0,528,2777
946000,2,9,2824,20,0,696,10815
946000,5,9,3556,6219,1000,1000,6227746
946000,8,7,4780,17,0,160,1511
946000,10,9,304,46,0,198,466
946000,11,9,1363,2,0,383,5331
946000,14,9,2751,3,0,591,8928
946000,17,9,1638,2,0,582,8794
946000,19,9,770,3,0,600,3483
947000,2,9,1629,2,0,381,5340
947000,5,9,3643,6218,1000,1000,6225566
947000,8,7,4789,17,0,160,1488
947000,10,9,289,79,0,374,825
947000,11,9,2289,2,0,646,9855
947000,14,9,2864,2,0,557,8352
947000,17,9,1612,3,0,629,9562
947000,19,9,678,2,0,646,3643
948000,2,9,2817,2,0,577,8812
948000,5,9,3826,6218,1000,1000,6221914
948000,8,7,4519,15,0,159,1460
948000,10,9,140,2,0,435,1083
948000,11,9,2416,2,0,515,7642
948000,14,9,1421,2,0,549,8153
948000,17,9,1820,2,0,593,8965
948000,19,9,829,2,0,644,3253
949000,2,9,1758,3,0,497,7437
949000,5,9,3769,6218,1000,1000,6221139
949000,8,7,3967,13,0,158,1470
949000,10,9,175,2,0,517,1440
949000,11,9,1634,2,0,495,7269
949000,14,9,2423,3,0,481,7059
949000,17,9,3289,2,0,783,11958
949000,19,9,688,3,0,617,3242
950000,2,9,2388,3,0,616,9301
950000,5,9,4310,6219,1000,1000,6219243
950000,8,7,3044,9,0,156,1448
950000,10,9,183,2,0,375,936
950000,11,9,2407,3,0,541,8008
950000,14,9,3139,2,0,547,8193
950000,17,9,1670,3,0,552,8275
950000,19,9,640,2,0,633,3472
950000,2,9,2388,3,0,616,9301
950000,5,9,4310,6219,1000,1000,6219243
950000,8,7,3044,9,0,156,1448
950000,10,9,183,2,0,375,936
950000,11,9,2407,3,0,541,8008
950000,14,9,3139,2,0,547,8193
950000,17,9,1670,3,0,552,8275
950000,19,9,640,2,0,633,3472
951000,2,9,3114,2,0,595,8895
951000,5,9,4279,6218,1000,1000,6219590
951000,8,7,2827,8,0,159,1483
951000,10,9,306,2,0,573,1454
951000,11,9,1938,2,0,483,7162
951000,14,9,2648,2,0,635,9643
951000,17,9,1957,3,0,504,7436
951000,19,9,722,79,0,713,3516
952000,2,9,2360,3,0,708,11007
952000,5,9,4429,6216,1000,1000,6217160
952000,8,7,2321,6,0,158,1481
952000,10,9,56,2,0,485,1144
952000,11,9,2664,2,0,386,5433
952000,14,9,1808,2,0,538,8040
952000,17,9,3323,2,0,594,8965
952000,19,9,1287,46,0,680,3515
953000,2,9,1723,2,0,493,7264
953000,5,9,5021,6114,1000,1000,6215872
953000,8,7,1575,3,0,157,1465
953000,10,9,58,2,0,505,1259
953000,11,9,5536,44,0,598,9059
953000,14,9,2575,2,0,448,6464
953000,17,9,3369,2,0,670,10311
953000,19,9,838,77,0,709,3378
954000,2,9,5014,48,0,622,9506
954000,5,9,4716,6212,1000,1000,6198433
954000,8,7,4790,16,0,158,1479
954000,10,9,93,2,0,525,1364
954000,11,9,4854,28,0,424,5938
954000,14,9,4506,66,0,489,7160
954000,17,9,4772,85,0,680,10443
954000,19,9,1232,44,0,660,3425
955000,2,9,4681,82,0,681,10476
955000,5,9,4156,6110,1000,1000,6144452
955000,8,7,4771,17,0,160,1490
955000,10,9,87,2,0,440,1112
955000,11,9,4823,29,0,377,5218
955000,14,9,4824,47,0,545,8109
955000,17,9,4813,66,0,603,9076
955000,19,9,1064,78,0,734,3571
956000,2,9,5357,35,0,531,7900
956000,5,9,3503,6107,1000,1000,6125481
956000,8,7,4789,17,0,160,1489
956000,10,9,600,14,0,461,1258
956000,11,9,4587,47,0,461,6620
956000,14,9,4669,81,0,542,8057
956000,17,9,4622,67,0,680,10469
956000,19,9,748,78,0,666,3203
957000,2,9,5521,48,0,603,9068
957000,5,9,2964,6204,1000,1000,6122445
957000,8,7,4804,16,0,160,1464
957000,10,9,388,65,0,505,1490
957000,11,9,4335,64,0,479,6963
957000,14,9,5159,29,0,442,6326
957000,17,9,4449,86,0,691,10564
957000,19,9,1172,43,0,613,2849
958000,2,9,4320,80,0,556,8228
958000,5,9,2948,6202,1000,1000,6121286
958000,8,7,4760,17,0,160,1490
958000,10,9,148,2,0,461,1388
958000,11,9,5401,26,0,503,7379
958000,14,9,4837,44,0,490,7397
958000,17,9,4891,64,0,641,9727
958000,19,9,1100,75,0,688,3096
959000,2,9,5788,32,0,565,8506
959000,5,9,2033,6200,1000,1000,6121647
959000,8,7,4775,16,0,161,1470
959000,10,9,377,77,0,366,1051
959000,11,9,5120,43,0,515,7442
959000,14,9,4415,61,0,424,6052
959000,17,9,4460,80,0,684,10501
959000,19,9,782,77,0,660,3182
960000,2,9,5099,32,0,509,7559
960000,5,9,1391,6198,1000,1000,6121595
960000,8,7,4786,16,0,160,1483
960000,10,9,103,2,0,379,1129
960000,11,9,4881,59,0,568,8455
960000,14,9,4844,45,0,415,5893
960000,17,9,4806,80,0,716,11021
960000,19,9,935,76,0,639,2785
961000,2,9,4226,82,0,542,7975
961000,5,9,1315,6117,1000,1000,6122205
961000,8,7,4759,17,0,160,1462
961000,10,9,228,2,0,521,1439
961000,11,9,4806,43,0,427,6131
961000,14,9,5404,29,0,511,7527
961000,17,9,5030,66,0,689,10571
