sf,ue_index,qci,data_rate_kbits,hol_delay_ms,deadline_misses,packets,hol_delay_ms_sum
331000,1,0,0,0,0,0,0
331000,4,0,0,0,0,0,0
331000,5,5,175,2,0,1,2
331000,7,0,0,0,0,0,0
331000,10,0,0,0,0,0,0
331000,13,0,0,0,0,0,0
331000,14,0,0,0,0,0,0
331000,16,0,0,0,0,0,0
332000,1,7,0,2,0,1,2
332000,4,0,0,0,0,0,0
332000,5,0,0,0,0,0,0
332000,7,0,0,0,0,0,0
332000,10,0,0,0,0,0,0
332000,13,0,0,0,0,0,0
332000,14,0,0,0,0,0,0
332000,16,0,0,0,0,0,0
333000,1,7,111,2,0,18,36
333000,4,7,1326,3,0,18,157
333000,5,5,167,2,0,1,2
333000,7,9,0,29,0,95,2374
333000,10,9,13301,649,94,649,135124
333000,13,9,4982,3,0,24,62
333000,14,0,0,0,0,0,0
333000,16,9,3584,889,692,996,485376
334000,1,7,251,2,0,18,36
334000,4,7,4762,17,0,114,1068
334000,5,5,167,2,0,1,2
334000,7,9,0,1079,435,1000,332528
334000,10,9,14401,344,447,753,366964
334000,13,9,11525,24,0,70,1734
334000,14,0,0,0,0,0,0
334000,16,9,16311,967,1000,1000,1252117
335000,1,7,181,2,0,19,38
335000,4,7,4437,2,0,158,1552
335000,5,5,143,2,0,2,4
335000,7,9,13401,2089,1000,1000,1502477
335000,10,9,11204,38,0,64,2093
335000,13,9,15522,344,83,404,76877
335000,14,0,0,0,0,0,0
335000,16,9,12286,71,16,128,20283
336000,1,7,241,2,0,19,38
336000,4,7,4773,17,0,155,1401
336000,5,5,167,2,0,1,2
336000,7,9,11851,2064,999,999,1738892
336000,10,9,14259,362,111,415,83950
336000,13,9,3274,3,0,14,57
336000,14,0,0,0,0,0,0
336000,16,9,11592,84,0,101,4844
337000,1,7,243,2,0,17,34
337000,4,7,4747,17,0,114,1055
337000,5,0,0,0,0,0,0
337000,7,9,10869,2009,1000,1000,1765037
337000,10,0,0,0,0,0,0
337000,13,9,14927,352,85,397,75304
337000,14,0,0,0,0,0,0
337000,16,9,14501,69,0,115,5709
338000,1,7,209,2,0,17,34
338000,4,7,5065,16,0,159,1664
338000,5,5,143,2,0,1,2
338000,7,9,6462,1981,999,999,1744687
338000,10,9,15803,178,0,203,19440
338000,13,9,14772,358,82,384,56466
338000,14,0,0,0,0,0,0
338000,16,9,11205,78,0,118,5512
339000,1,7,241,2,0,17,34
339000,4,7,4783,16,0,150,1334
339000,5,5,143,2,0,1,2
339000,7,9,4775,1938,999,999,1708665
339000,10,9,12750,350,87,393,74467
339000,13,9,1525,3,0,7,18
339000,14,9,0,2,0,1,2
339000,16,9,11592,53,0,101,3530
340000,1,7,241,2,0,19,38
340000,4,7,4752,17,0,130,1213
340000,5,5,143,2,0,1,2
340000,7,9,44,1535,998,998,1731740
340000,10,9,7195,2,0,34,78
340000,13,9,13800,357,58,371,66682
340000,14,0,0,0,0,0,0
340000,16,9,13258,77,0,95,4358
341000,1,7,195,2,0,18,36
341000,4,7,4753,16,0,149,1404
341000,5,5,176,2,0,2,4
341000,7,9,63,1495,998,998,1736880
341000,10,9,8589,15,0,43,545
341000,13,9,13522,347,81,383,72163
341000,14,0,0,0,0,0,0
341000,16,9,12813,33,0,89,2387
342000,1,7,237,2,0,19,38
342000,4,7,4628,17,0,118,1107
342000,5,5,146,2,0,1,2
342000,7,9,98,1503,998,998,1706165
342000,10,9,3273,6,0,14,78
342000,13,9,13497,296,43,354,60880
342000,14,0,0,0,0,0,0
342000,16,9,12762,38,0,88,2657
343000,1,7,240,2,0,17,34
343000,4,7,4624,16,0,149,1415
343000,5,5,146,2,0,1,2
343000,7,9,293,1511,998,998,1728885
343000,10,9,13552,246,0,253,31111
343000,13,9,7,42,41,300,26931
343000,14,0,0,0,0,0,0
343000,16,9,13033,50,0,100,3804
344000,1,7,215,2,0,17,34
344000,4,7,4793,17,0,137,1246
344000,5,5,146,2,0,1,2
344000,7,9,423,1470,998,998,1687587
344000,10,9,12754,217,0,286,40475
344000,13,9,4188,3,64,142,23105
344000,14,0,0,0,0,0,0
344000,16,9,13300,49,0,99,3634
345000,1,7,155,2,0,16,32
345000,4,7,4784,17,0,154,1544
345000,5,5,146,2,0,1,2
345000,7,9,548,1477,998,998,1573885
345000,10,9,12022,193,61,349,61370
345000,13,9,5986,4,0,27,121
345000,14,0,0,0,0,0,0
345000,16,9,13174,58,0,99,4015
346000,1,7,180,2,0,18,36
346000,4,7,4052,16,0,147,1354
346000,5,0,0,0,0,0,0
346000,7,9,900,1448,999,999,1588190
346000,10,9,12297,170,30,316,51350
346000,13,9,3884,3,0,17,67
346000,14,0,0,0,0,0,0
346000,16,9,12371,71,0,120,5689
347000,1,7,98,2,0,17,34
347000,4,7,3946,17,0,127,1170
347000,5,5,143,2,0,1,2
347000,7,9,2002,1465,1000,1000,1577457
347000,10,9,4227,5,0,157,31984
347000,13,9,10377,126,0,129,7952
347000,14,0,0,0,0,0,0
347000,16,9,12282,97,0,144,8853
348000,1,7,222,2,0,18,36
348000,4,7,3478,10,0,139,1259
348000,5,5,146,2,0,1,2
348000,7,9,2814,1465,999,999,1531493
348000,10,9,6452,91,0,91,4007
348000,13,9,7182,3,0,216,38154
348000,14,0,0,0,0,0,0
348000,16,9,14953,118,0,166,12555
349000,1,7,224,2,0,16,32
349000,4,7,4618,16,0,146,1491
349000,5,5,146,2,0,1,2
349000,7,9,7613,1494,996,996,1586143
349000,10,9,3741,9,0,214,36073
349000,13,9,3953,38,0,37,721
349000,14,9,0,2,0,1,2
349000,16,9,13953,122,0,174,13374
350000,1,7,185,2,0,18,36
350000,4,7,4656,23,0,135,1320
350000,5,5,160,2,0,1,2
350000,7,9,10122,1498,996,996,1591447
350000,10,9,3323,14,0,14,109
350000,13,9,15162,251,0,254,40766
350000,14,0,0,0,0,0,0
350000,16,9,15192,127,0,178,14446
350000,1,7,185,2,0,18,36
350000,4,7,4656,23,0,135,1320
350000,5,5,160,2,0,1,2
350000,7,9,10122,1498,996,996,1591447
350000,10,9,3323,14,0,14,109
350000,13,9,15162,251,0,254,40766
350000,14,0,0,0,0,0,0
350000,16,9,15192,127,0,178,14446
351000,1,7,228,2,0,17,34
351000,4,7,3322,12,0,140,1255
351000,5,5,175,2,0,2,4
351000,7,9,8310,1450,993,993,1595984
351000,10,9,15329,232,0,266,37654
351000,13,9,4919,3,0,25,72
351000,14,0,0,0,0,0,0
351000,16,9,13338,120,0,168,12469
352000,1,7,213,2,0,18,36
352000,4,7,3266,9,0,134,1291
352000,5,5,148,2,0,1,2
352000,7,9,10325,1400,997,997,1592096
352000,10,9,15824,206,0,254,29221
352000,13,9,6313,11,0,29,287
352000,14,0,0,0,0,0,0
352000,16,9,10608,93,0,93,4259
353000,1,7,234,2,0,17,34
353000,4,7,2580,7,0,141,1310
353000,5,5,148,2,0,1,2
353000,7,9,3121,1330,997,997,1540521
353000,10,9,5792,4,0,26,271
353000,13,9,14083,310,59,365,64246
353000,14,0,0,0,0,0,0
353000,16,9,14059,125,0,138,9311
