sf,ue_index,qci,data_rate_kbits,hol_delay_ms,deadline_misses,packets,hol_delay_ms_sum
448000,1,0,0,0,0,0,0
448000,3,0,0,0,0,0,0
448000,6,0,0,0,0,0,0
448000,9,0,0,0,0,0,0
448000,10,9,0,2,0,1,2
448000,13,0,0,0,0,0,0
448000,15,9,0,2,0,1,2
448000,17,0,0,0,0,0,0
449000,1,0,0,0,0,0,0
449000,3,0,0,0,0,0,0
449000,6,7,181,2,0,6,12
449000,9,7,4778,17,0,64,594
449000,10,0,0,0,0,0,0
449000,13,0,0,0,0,0,0
449000,15,0,0,0,0,0,0
449000,17,9,13726,158,0,160,12694
450000,1,5,126,2,0,2,4
450000,3,0,0,0,0,0,0
450000,6,7,207,2,0,18,36
450000,9,7,4785,16,0,163,1500
450000,10,0,0,0,0,0,0
450000,13,9,0,22,0,743,16039
450000,15,0,0,0,0,0,0
450000,17,9,14943,1141,854,998,647910
451000,1,5,196,2,0,1,2
451000,3,0,0,0,0,0,0
451000,6,7,243,2,0,19,38
451000,9,7,4791,17,0,145,1370
451000,10,0,0,0,0,0,0
451000,13,9,2503,1623,727,1000,941985
451000,15,0,0,0,0,0,0
451000,17,9,12252,109,605,796,417293
452000,1,5,196,2,0,1,2
452000,3,0,0,0,0,0,0
452000,6,7,109,2,0,18,36
452000,9,7,3964,13,0,157,1460
452000,10,0,0,0,0,0,0
452000,13,9,3647,1627,1000,1000,1796687
452000,15,0,0,0,0,0,0
452000,17,9,11659,90,278,564,165243
453000,1,5,196,2,0,1,2
453000,3,0,0,0,0,0,0
453000,6,7,240,2,0,19,39
453000,9,7,1316,2,0,145,1344
453000,10,0,0,0,0,0,0
453000,13,9,5137,1570,1000,1000,1788962
453000,15,0,0,0,0,0,0
453000,17,9,11566,71,264,549,157392
454000,1,5,124,2,0,1,2
454000,3,0,0,0,0,0,0
454000,6,7,241,2,0,19,38
454000,9,7,4778,17,0,146,1352
454000,10,0,0,0,0,0,0
454000,13,9,8030,1596,1000,1000,1688239
454000,15,0,0,0,0,0,0
454000,17,9,6526,31,221,485,133696
455000,1,5,126,2,0,1,2
455000,3,0,0,0,0,0,0
455000,6,7,300,2,0,20,40
455000,9,7,4787,16,0,144,1345
455000,10,0,0,0,0,0,0
455000,13,9,12637,1564,1000,1000,1670847
455000,15,0,0,0,0,0,0
455000,17,9,1582,6,205,491,127491
455000,1,5,126,2,0,1,2
455000,3,0,0,0,0,0,0
455000,6,7,300,2,0,20,40
455000,9,7,4787,16,0,144,1345
455000,10,0,0,0,0,0,0
455000,13,9,12637,1564,1000,1000,1670847
455000,15,0,0,0,0,0,0
455000,17,9,1582,6,205,491,127491
456000,1,5,172,2,0,1,2
456000,3,0,0,0,0,0,0
456000,6,7,239,2,0,19,38
456000,9,7,4785,17,0,160,1510
456000,10,0,0,0,0,0,0
456000,13,9,14100,1534,1000,1000,1541434
456000,15,0,0,0,0,0,0
456000,17,9,15164,317,18,323,52265
457000,1,5,180,2,0,2,4
457000,3,0,0,0,0,0,0
457000,6,7,243,2,0,18,36
457000,9,7,4758,17,0,160,1495
457000,10,0,0,0,0,0,0
457000,13,9,13975,1507,1000,1000,1527591
457000,15,0,0,0,0,0,0
457000,17,9,15417,498,230,531,139512
458000,1,5,126,2,0,1,2
458000,3,0,0,0,0,0,0
458000,6,7,241,2,0,20,40
458000,9,7,4782,17,0,155,1430
458000,10,9,0,2,0,1,2
458000,13,9,13599,1492,1000,1000,1751586
458000,15,9,0,2,0,1,2
458000,17,9,15101,533,246,545,147012
459000,1,5,126,2,0,1,2
459000,3,0,0,0,0,0,0
459000,6,7,202,2,0,19,38
459000,9,7,4771,17,0,151,1404
459000,10,0,0,0,0,0,0
459000,13,9,13712,1466,1000,1000,1696425
459000,15,0,0,0,0,0,0
459000,17,9,16131,509,242,550,149211
460000,1,5,126,2,0,1,2
460000,3,0,0,0,0,0,0
460000,6,7,242,2,0,18,36
460000,9,7,4803,16,0,148,1367
460000,10,0,0,0,0,0,0
460000,13,9,13397,1442,1000,1000,1757810
460000,15,0,0,0,0,0,0
460000,17,9,14148,545,291,594,172617
461000,1,5,126,2,0,1,2
461000,3,0,0,0,0,0,0
461000,6,7,227,2,0,21,42
461000,9,7,4807,17,0,160,1506
461000,10,0,0,0,0,0,0
461000,13,9,10990,2430,1000,1000,1804029
461000,15,0,0,0,0,0,0
461000,17,9,12771,694,406,726,249054
462000,1,5,170,2,0,1,2
462000,3,0,0,0,0,0,0
462000,6,7,240,2,0,28,56
462000,9,7,4752,17,0,147,1354
462000,10,0,0,0,0,0,0
462000,13,9,12943,1387,999,999,1083414
462000,15,0,0,0,0,0,0
462000,17,9,15774,459,166,480,109462
463000,1,0,0,0,0,0,0
463000,3,0,0,0,0,0,0
463000,6,7,243,2,0,24,48
463000,9,7,4668,18,0,136,1307
463000,10,0,0,0,0,0,0
463000,13,9,12227,1356,1000,1000,1693968
463000,15,0,0,0,0,0,0
463000,17,9,14497,548,279,587,166986
464000,1,5,126,2,0,1,2
