sf,ue_index,qci,data_rate_kbits,hol_delay_ms,deadline_misses,packets,hol_delay_ms_sum
1018000,2,0,0,0,0,0,0
1018000,5,0,0,0,0,0,0
1018000,8,0,0,0,0,0,0
1018000,10,0,0,0,0,0,0
1018000,11,0,0,0,0,0,0
1018000,14,9,0,2,0,1,2
1018000,17,0,0,0,0,0,0
1018000,19,0,0,0,0,0,0
1019000,2,9,707,103,0,198,2188
1019000,5,9,6685,48,0,147,4439
1019000,8,7,3024,8,0,41,347
1019000,10,9,441,2,0,151,992
1019000,11,9,4465,83,0,156,2475
1019000,14,9,258,103,0,133,900
1019000,17,9,5400,60,0,160,4412
1019000,19,9,2199,83,0,122,1880
1020000,2,9,32,503,214,1000,173608
1020000,5,9,4508,62,0,994,115431
1020000,8,7,2321,6,0,157,1448
1020000,10,9,1285,103,0,1000,111222
1020000,11,9,4852,82,0,999,125201
1020000,14,9,489,402,122,982,137912
1020000,17,9,4209,186,0,991,118648
1020000,19,9,92,403,209,1000,171345
1021000,2,9,0,1406,1000,1000,954197
1021000,5,9,4770,51,0,578,26225
1021000,8,7,1857,4,0,158,1484
1021000,10,9,4236,69,0,565,24777
1021000,11,9,5947,23,0,635,25442
1021000,14,9,5869,498,1000,1000,594416
1021000,17,9,4833,32,0,568,25430
1021000,19,9,0,1406,1000,1000,944399
1022000,2,9,0,2409,1000,1000,1954288
1022000,5,9,834,2,0,500,6172
1022000,8,7,4781,17,0,157,1485
1022000,10,9,4433,89,0,439,6333
1022000,11,9,6137,45,0,583,11954
1022000,14,9,5304,81,796,938,322795
1022000,17,9,5926,53,0,470,7466
1022000,19,9,0,2474,1000,1000,1944056
1023000,2,9,0,3411,1000,1000,2954187
1023000,5,9,4562,70,0,659,13088
1023000,8,7,4787,16,0,160,1500
1023000,10,9,4861,20,0,374,5170
1023000,11,9,4805,43,0,522,7755
1023000,14,9,4700,65,0,640,9730
1023000,17,9,1194,20,0,500,7440
1023000,19,9,4594,2988,1000,1000,2842311
1024000,2,9,0,4414,1000,1000,3954372
1024000,5,9,4312,71,0,557,8204
