sf,ue_index,qci,data_rate_kbits,hol_delay_ms,deadline_misses,packets,hol_delay_ms_sum
1264000,2,0,0,0,0,0,0
1264000,5,0,0,0,0,0,0
1264000,8,0,0,0,0,0,0
1264000,10,0,0,0,0,0,0
1264000,11,0,0,0,0,0,0
1264000,14,0,0,0,0,0,0
1264000,17,0,0,0,0,0,0
1264000,19,0,0,0,0,0,0
1265000,2,9,2733,35,0,498,16532
1265000,5,9,1370,148,0,438,16189
1265000,8,7,4785,16,0,96,896
1265000,10,9,3006,24,0,461,11801
1265000,11,9,1976,3,0,410,13862
1265000,14,9,4146,52,0,522,15437
1265000,17,9,1956,2,0,374,9195
1265000,19,9,0,2,0,1,2
1266000,2,9,1209,102,0,985,81960
1266000,5,9,1759,103,0,973,78246
1266000,8,7,4789,17,0,160,1500
1266000,10,9,2798,121,0,1000,77172
1266000,11,9,6207,149,0,1000,88443
1266000,14,9,1510,102,0,990,81239
1266000,17,9,1589,103,0,1000,87945
1266000,19,0,0,0,0,0,0
1267000,2,9,2599,250,0,1000,166267
1267000,5,9,145,403,161,1000,178022
1267000,8,7,4790,17,0,160,1489
1267000,10,9,3405,123,0,1000,135727
1267000,11,9,4410,140,0,1000,145354
1267000,14,9,2954,102,0,1000,155789
1267000,17,9,1434,203,0,1000,157697
1267000,19,0,0,0,0,0,0
1268000,2,9,2563,102,0,1000,109643
1268000,5,9,0,1406,1000,1000,895120
1268000,8,7,4811,16,0,160,1494
1268000,10,9,3704,23,0,1000,96908
1268000,11,9,4396,40,0,1000,104596
1268000,14,9,1492,150,0,993,110896
1268000,17,9,2692,2,0,973,99849
1268000,19,0,0,0,0,0,0
1269000,2,9,1719,2,0,793,19637
1269000,5,9,622,2308,1000,1000,1882540
1269000,8,7,4751,17,0,162,1545
1269000,10,9,5145,22,0,709,20329
1269000,11,9,921,2,0,699,20656
1269000,14,9,1259,2,0,693,21026
1269000,17,9,5976,35,0,752,18481
1269000,19,0,0,0,0,0,0
1270000,2,9,1650,2,0,572,8647
1270000,5,9,728,3010,1000,1000,2662586
1270000,8,7,4780,17,0,161,1488
1270000,10,9,5218,22,0,425,6021
1270000,11,9,4080,37,0,469,7188
1270000,14,9,1554,2,0,671,10267
1270000,17,9,2091,2,0,666,9825
1270000,19,0,0,0,0,0,0
1271000,2,9,1090,2,0,589,8898
1271000,5,9,744,3712,1000,1000,3392890
1271000,8,7,4785,17,0,160,1494
1271000,10,9,5799,22,0,431,6089
1271000,11,9,1375,2,0,521,7442
1271000,14,9,1204,2,0,530,7929
1271000,17,9,4798,30,0,766,12149
1271000,19,0,0,0,0,0,0
1272000,2,9,5944,28,0,664,10550
1272000,5,9,780,4514,1000,1000,4106876
1272000,8,7,4780,17,0,160,1493
1272000,10,9,1160,2,0,336,4195
1272000,11,9,2712,32,0,496,7576
1272000,14,9,1706,3,0,697,10760
1272000,17,9,2315,2,0,642,9626
1272000,19,0,0,0,0,0,0
1273000,2,9,2066,2,0,616,8920
1273000,5,9,600,5216,1000,1000,4822279
1273000,8,7,4775,17,0,160,1471
1273000,10,9,2137,28,0,491,7330
1273000,11,9,2364,2,0,548,8005
1273000,14,9,5104,32,0,489,7669
1273000,17,9,1832,2,0,707,10927
1273000,19,0,0,0,0,0,0
1274000,2,9,1068,2,0,514,7598
1274000,5,9,765,5918,1000,1000,5552342
1274000,8,7,4807,16,0,161,1497
1274000,10,9,1981,2,0,557,8267
1274000,11,9,5535,25,0,501,7638
1274000,14,9,1674,35,0,515,7345
1274000,17,9,2799,3,0,773,12049
1274000,19,0,0,0,0,0,0
1275000,2,9,1539,2,0,609,9231
1275000,5,9,2939,6118,1000,1000,6098455
1275000,8,7,4803,16,0,160,1493
1275000,10,9,1128,3,0,459,6716
1275000,11,9,1677,2,0,489,6912
1275000,14,9,5654,32,0,541,8433
1275000,17,9,824,2,0,613,5515
1275000,19,9,0,2,0,84,168
1275000,2,9,1539,2,0,609,9231
1275000,5,9,2939,6118,1000,1000,6098455
1275000,8,7,4803,16,0,160,1493
1275000,10,9,1128,3,0,459,6716
1275000,11,9,1677,2,0,489,6912
1275000,14,9,5654,32,0,541,8433
1275000,17,9,824,2,0,613,5515
1275000,19,9,0,2,0,84,168
1276000,2,9,2259,3,0,639,9741
1276000,5,9,3312,6118,1000,1000,6123482
1276000,8,7,4767,17,0,160,1467
1276000,10,9,4219,20,0,372,5313
1276000,11,9,1925,3,0,571,8589
1276000,14,9,1184,2,0,482,6751
1276000,17,9,701,2,0,596,3552
1276000,19,0,0,0,0,0,0
1277000,2,9,4715,22,0,543,8236
1277000,5,9,3265,6117,1000,1000,6123170
1277000,8,7,4788,16,0,160,1491
1277000,10,9,1213,2,0,408,5664
1277000,11,9,1535,3,0,499,7393
1277000,14,9,2026,3,0,624,9537
1277000,17,9,675,2,0,596,3544
1277000,19,0,0,0,0,0,0
1278000,2,9,2178,2,0,585,8669
1278000,5,9,3320,6118,1000,1000,6123126
1278000,8,7,4769,17,0,160,1470
1278000,10,9,1644,2,0,386,5406
1278000,11,9,4134,17,0,487,7229
1278000,14,9,1359,2,0,617,9499
1278000,17,9,613,2,0,546,3243
1278000,19,0,0,0,0,0,0
1279000,2,9,1802,2,0,549,8254
1279000,5,9,3442,6117,1000,1000,6123363
1279000,8,7,4784,16,0,160,1482
1279000,10,9,1316,2,0,317,4239
1279000,11,9,3049,14,0,546,8223
1279000,14,9,2518,3,0,638,9805
1279000,17,9,967,3,0,623,3663
1279000,19,0,0,0,0,0,0
1280000,2,9,2629,2,0,627,9530
1280000,5,9,3715,6118,1000,1000,6124079
1280000,8,7,4771,17,0,160,1479
1280000,10,9,1291,3,0,372,5158
1280000,11,9,1706,2,0,437,6282
1280000,14,9,2604,19,0,647,10032
1280000,17,9,939,2,0,494,2917
1280000,19,0,0,0,0,0,0
1281000,2,9,1404,2,0,541,8103
1281000,5,9,3595,6118,1000,1000,6124333
1281000,8,7,4792,16,0,160,1478
1281000,10,9,2631,2,0,371,5191
1281000,11,9,1915,2,0,472,6899
1281000,14,9,2246,3,0,660,9842
1281000,17,9,1186,3,0,648,3901
1281000,19,0,0,0,0,0,0
1282000,2,9,2843,3,0,576,8671
1282000,5,9,4256,6118,1000,1000,6124399
1282000,8,7,4174,14,0,157,1420
1282000,10,9,1808,3,0,391,5484
1282000,11,9,2421,3,0,554,8259
1282000,14,9,1471,2,0,565,8485
1282000,17,9,1000,71,0,471,2721
1282000,19,0,0,0,0,0,0
1283000,2,9,2512,2,0,587,8892
1283000,5,9,3799,6117,1000,1000,6123874
1283000,8,7,3743,11,0,158,1465
1283000,10,9,1577,2,0,288,3755
1283000,11,9,2148,2,0,500,7464
1283000,14,9,3346,2,0,703,10739
1283000,17,9,2427,9,0,511,3195
1283000,19,0,0,0,0,0,0
1284000,2,9,1876,2,0,576,8646
1284000,5,9,4322,6107,1000,1000,6124615
1284000,8,7,3065,9,0,157,1467
1284000,10,9,4373,71,0,437,6266
1284000,11,9,4405,56,0,409,5811
1284000,14,9,2274,3,0,613,9237
1284000,17,9,1206,71,0,615,3400
1284000,19,0,0,0,0,0,0
1285000,2,9,4673,75,0,661,10105
1285000,5,9,4212,6107,1000,1000,6125547
1285000,8,7,2312,6,0,157,1458
1285000,10,9,4875,39,0,431,6199
1285000,11,9,5055,24,0,464,6675
1285000,14,9,2826,3,0,477,6920
1285000,17,9,1629,73,0,616,3809
1285000,19,9,0,2,0,1,2
1286000,2,9,5623,27,0,569,8476
1286000,5,9,4237,6107,1000,1000,6126367
1286000,8,7,1858,4,0,158,1474
1286000,10,9,4406,71,0,480,6999
1286000,11,9,5461,40,0,491,7187
1286000,14,9,2739,3,0,509,7439
1286000,17,9,1571,72,0,546,3730
1286000,19,0,0,0,0,0,0
1287000,2,9,5069,59,0,643,9840
1287000,5,9,4290,6207,1000,1000,6127101
1287000,8,7,4776,17,0,157,1479
1287000,10,9,4239,78,0,499,7295
1287000,11,9,5001,24,0,331,4445
