sf,ue_index,qci,data_rate_kbits,hol_delay_ms,deadline_misses,packets,hol_delay_ms_sum
492000,1,0,0,0,0,0,0
492000,4,0,0,0,0,0,0
492000,6,0,0,0,0,0,0
492000,8,0,0,0,0,0,0
492000,10,0,0,0,0,0,0
492000,13,9,0,2,0,1,2
492000,15,0,0,0,0,0,0
492000,18,0,0,0,0,0,0
493000,1,9,5141,103,0,365,18043
493000,4,9,1506,36,0,390,12089
493000,6,9,2331,63,0,322,11496
493000,8,9,937,103,0,319,8964
493000,10,9,1196,103,0,336,10704
493000,13,9,1152,104,0,372,11797
493000,15,7,3651,12,0,75,669
493000,18,9,1829,57,0,376,14757
494000,1,9,11,604,330,1000,223243
494000,4,9,909,103,0,1000,116320
494000,6,9,4946,67,0,1000,118979
494000,8,9,2732,102,0,1000,130271
494000,10,9,876,103,0,1000,129007
494000,13,9,3817,211,0,1000,119234
494000,15,7,0,604,531,677,161037
494000,18,9,4488,48,0,1000,116577
495000,1,9,0,1606,1000,1000,1061407
495000,4,9,3921,74,0,905,52865
495000,6,9,6354,47,0,921,60117
495000,8,9,6351,58,0,947,63040
495000,10,9,860,2,0,977,61767
495000,13,9,4229,3,0,994,61401
495000,15,7,0,1606,1000,1000,1064834
495000,18,9,1123,2,0,956,66697
496000,1,9,0,2608,1000,1000,2060865
496000,4,9,4711,48,0,555,9279
496000,6,9,5906,16,0,557,9455
496000,8,9,4821,27,0,487,7985
496000,10,9,4598,56,0,516,9980
496000,13,9,2122,5,0,477,7066
496000,15,7,1254,203,1000,1000,1604518
496000,18,9,4468,64,0,601,11015
497000,1,9,0,3610,1000,1000,3061201
497000,4,9,4788,47,0,392,5477
497000,6,9,4367,64,0,427,6036
497000,8,9,4790,27,0,311,4092
497000,10,9,4853,39,0,401,5637
497000,13,9,1310,2,0,157,1487
497000,15,7,1618,202,1000,1000,207850
497000,18,9,5435,31,0,537,7955
498000,1,9,0,4513,1000,1000,4061197
498000,4,9,4729,64,0,456,6552
498000,6,9,4932,32,0,398,5572
498000,8,9,4755,27,0,297,3860
498000,10,9,4788,39,0,418,5956
498000,13,9,4784,16,0,159,1498
498000,15,7,862,300,1000,1000,204909
498000,18,9,4758,48,0,508,7496
499000,1,9,0,5516,1000,1000,5063607
499000,4,9,4690,64,0,456,6600
499000,6,9,4780,32,0,336,4504
499000,8,9,4981,27,0,396,5534
499000,10,9,4750,40,0,391,5439
499000,13,9,4792,16,0,160,1468
499000,15,7,305,203,1000,1000,204720
499000,18,9,4860,48,0,511,7668
500000,1,9,2437,6309,1000,1000,6008511
500000,4,9,1943,39,0,300,2505
500000,6,9,668,2,0,293,3169
500000,8,9,4528,57,0,418,5910
500000,10,9,3543,36,0,421,5558
500000,13,9,5413,32,0,243,2945
500000,15,7,4942,17,689,743,132949
500000,18,9,4741,56,0,416,5900
501000,1,9,2223,6307,1000,1000,6237891
501000,4,9,1969,38,0,330,2878
501000,6,9,847,14,0,52,149
501000,8,9,4617,38,0,379,5253
501000,10,9,4407,19,0,375,4042
501000,13,9,4362,86,0,625,9509
501000,15,7,4811,16,0,160,1483
501000,18,9,4802,32,0,395,5545
502000,1,9,2003,6305,1000,1000,6228609
502000,4,9,230,43,0,130,400
502000,6,9,3705,25,0,275,2592
502000,8,9,4827,39,0,421,6320
502000,10,9,3759,20,0,302,3419
502000,13,9,4571,85,0,644,9797
502000,15,7,4748,17,0,160,1506
502000,18,9,3830,36,0,438,5559
503000,1,9,1340,6219,1000,1000,6230597
503000,4,9,341,43,0,118,317
503000,6,9,4264,15,0,266,2666
503000,8,9,5169,27,0,422,5985
503000,10,9,3462,68,0,356,4097
503000,13,9,5091,62,0,656,10073
503000,15,7,4778,16,0,160,1468
503000,18,9,2978,54,0,436,5053
503000,1,9,1340,6219,1000,1000,6230597
503000,4,9,341,43,0,118,317
503000,6,9,4264,15,0,266,2666
503000,8,9,5169,27,0,422,5985
503000,10,9,3462,68,0,356,4097
