sf,ue_index,qci,data_rate_kbits,hol_delay_ms,deadline_misses,packets,hol_delay_ms_sum
722000,1,0,0,0,0,0,0
722000,4,0,0,0,0,0,0
722000,6,0,0,0,0,0,0
722000,8,0,0,0,0,0,0
722000,10,0,0,0,0,0,0
722000,13,0,0,0,0,0,0
722000,15,0,0,0,0,0,0
722000,18,0,0,0,0,0,0
723000,1,9,3791,43,0,321,11743
723000,4,9,3142,20,0,327,7623
723000,6,9,3109,139,0,301,10862
723000,8,9,319,102,0,248,6384
723000,10,9,2094,102,0,274,14732
723000,13,9,281,102,0,314,10757
723000,15,7,4764,17,0,64,599
723000,18,9,2321,2,0,285,9509
724000,1,9,1,703,471,1000,286895
724000,4,9,3282,119,0,1000,130760
724000,6,9,4082,129,0,1000,141192
724000,8,9,2400,103,0,1000,126692
724000,10,9,2469,103,0,1000,136622
724000,13,9,2800,254,0,1000,149781
724000,15,7,4784,16,0,160,1497
724000,18,9,29,503,268,1000,191786
725000,1,9,0,1706,1000,1000,1202240
725000,4,9,3494,21,0,984,77096
725000,6,9,2325,2,0,971,79524
725000,8,9,4184,39,0,971,91604
725000,10,9,2838,137,0,974,78304
725000,13,9,2055,2,0,969,85121
725000,15,7,4773,17,0,160,1490
725000,18,9,0,1506,1000,1000,999231
726000,1,9,0,2710,1000,1000,2201104
726000,4,9,1255,2,0,680,16953
726000,6,9,5167,31,0,614,16242
726000,8,9,1762,2,0,667,12340
726000,10,9,1177,2,0,704,15718
726000,13,9,6518,31,0,780,19698
726000,15,7,4756,17,0,160,1480
726000,18,9,0,2308,1000,1000,1876371
727000,1,9,0,3713,1000,1000,3202120
727000,4,9,4419,35,0,424,6360
727000,6,9,1096,16,0,267,2746
727000,8,9,4500,17,0,410,6164
727000,10,9,399,2,0,521,6095
727000,13,9,1145,2,0,699,10186
727000,15,7,4783,17,0,160,1504
727000,18,9,3910,2509,1000,1000,2615799
728000,1,9,0,4716,1000,1000,4202210
728000,4,9,3761,32,0,321,4260
728000,6,9,226,2,0,270,994
728000,8,9,5071,19,0,273,3347
728000,10,9,261,3,0,359,1539
728000,13,9,1567,3,0,640,9804
728000,15,7,4775,17,0,161,1492
728000,18,9,4270,1506,1000,1000,1995707
729000,1,9,0,5718,1000,1000,5202366
729000,4,9,2632,30,0,359,4796
729000,6,9,719,19,0,268,927
729000,8,9,4785,20,0,222,2541
729000,10,9,233,2,0,347,1634
729000,13,9,1542,2,0,661,10156
729000,15,7,4747,17,0,161,1494
729000,18,9,4673,503,1000,1000,994490
730000,1,9,2572,6120,1000,1000,6038095
730000,4,9,1117,2,0,485,6950
730000,6,9,213,2,0,378,1336
730000,8,9,2573,27,0,343,4506
730000,10,9,259,2,0,335,1529
730000,13,9,5485,32,0,586,10853
730000,15,7,4787,17,0,161,1496
730000,18,9,2199,2,233,755,107582
731000,1,9,2768,6120,1000,1000,6138258
731000,4,9,5552,23,0,477,7188
731000,6,9,480,3,0,298,984
731000,8,9,1328,2,0,406,5881
731000,10,9,218,2,0,280,1078
731000,13,9,2102,2,0,569,8105
731000,15,7,4778,17,0,160,1464
731000,18,9,1298,3,0,613,9343
732000,1,9,2885,6118,1000,1000,6125799
732000,4,9,4942,22,0,483,7002
732000,6,9,224,2,0,240,736
732000,8,9,1127,2,0,374,5188
732000,10,9,745,6,0,306,1263
732000,13,9,1415,2,0,522,7750
732000,15,7,4807,17,0,161,1501
732000,18,9,2385,3,0,682,10493
733000,1,9,3081,6119,1000,1000,6128614
733000,4,9,1891,2,0,406,5571
733000,6,9,461,4,0,384,1212
733000,8,9,4283,18,0,422,6207
733000,10,9,240,2,0,344,1342
733000,13,9,1380,2,0,565,8495
733000,15,7,4798,16,0,160,1488
733000,18,9,2236,2,0,646,9805
734000,1,9,2953,6118,1000,1000,6128120
734000,4,9,1995,2,0,461,6660
734000,6,9,104,2,0,243,623
734000,8,9,3161,16,0,430,6140
734000,10,9,1161,6,0,313,1351
734000,13,9,1521,2,0,511,7644
734000,15,7,4784,16,0,160,1470
734000,18,9,2563,2,0,658,10058
735000,1,9,3262,6118,1000,1000,6128287
735000,4,9,1428,2,0,470,6823
735000,6,9,446,4,0,304,759
735000,8,9,3545,14,0,403,5686
735000,10,9,579,2,0,369,1638
735000,13,9,2390,2,0,576,8679
735000,15,7,4773,17,0,160,1470
735000,18,9,1560,2,0,581,8793
736000,1,9,3300,6118,1000,1000,6127905
736000,4,9,2123,2,0,461,6652
736000,6,9,99,2,0,321,751
736000,8,9,1547,2,0,396,5516
736000,10,9,452,2,0,235,1025
736000,13,9,2962,23,0,537,8186
736000,15,7,4786,16,0,160,1474
736000,18,9,2758,3,0,675,10372
737000,1,9,3696,6118,1000,1000,6127997
737000,4,9,2134,2,0,501,7382
737000,6,9,373,67,0,315,807
737000,8,9,1567,3,0,391,5484
737000,10,9,1198,6,0,331,1460
737000,13,9,1639,2,0,441,6260
737000,15,7,4781,17,0,160,1489
737000,18,9,2739,2,0,699,10801
738000,1,9,3978,6117,1000,1000,6127545
738000,4,9,2318,3,0,491,7222
738000,6,9,21,2,0,103,239
738000,8,9,1766,2,0,431,6207
738000,10,9,343,3,0,191,979
738000,13,9,1448,2,0,511,7575
738000,15,7,4793,17,0,161,1482
738000,18,9,2902,2,0,650,9960
739000,1,9,3948,6118,999,999,6121142
739000,4,9,2261,2,0,472,6865
739000,6,9,400,4,0,245,729
739000,8,9,1980,3,0,387,5421
739000,10,9,1227,6,0,299,1243
739000,13,9,2857,3,0,594,9001
739000,15,7,4328,16,0,159,1465
739000,18,9,1799,2,0,611,9284
740000,1,9,3929,6117,1000,1000,6126201
740000,4,9,4932,20,0,384,5339
740000,6,9,926,55,0,245,770
740000,8,9,4570,52,0,414,5882
740000,10,9,144,2,0,243,1083
740000,13,9,1979,3,0,547,8224
740000,15,7,4192,13,0,159,1450
740000,18,9,3207,2,0,710,10944
741000,1,9,3925,6117,1000,1000,6126987
741000,4,9,5460,20,0,369,5056
741000,6,9,1160,57,0,318,1761
741000,8,9,4619,38,0,372,5130
741000,10,9,288,20,0,106,316
741000,13,9,2389,3,0,536,8025
741000,15,7,3494,11,0,157,1445
741000,18,9,3420,3,0,766,11900
742000,1,9,4438,6117,1000,1000,6125275
742000,4,9,4802,57,0,515,7567
742000,6,9,458,23,0,149,582
742000,8,9,4625,40,0,403,5656
742000,10,9,799,5,0,195,636
742000,13,9,1752,2,0,543,8155
742000,15,7,2808,8,0,157,1434
742000,18,9,4703,79,0,618,9416
743000,1,9,4412,6111,1000,1000,6125239
743000,4,9,4745,58,0,504,7359
743000,6,9,674,24,0,190,513
743000,8,9,4912,19,0,343,4753
743000,10,9,569,21,0,193,910
743000,13,9,2236,2,0,600,9067
743000,15,7,2321,5,0,158,1459
743000,18,9,4778,80,0,651,9909
744000,1,9,4816,6111,1000,1000,6125013
744000,4,9,4485,57,0,466,6734
744000,6,9,399,57,0,271,872
744000,8,9,4932,24,0,290,3731
744000,10,9,1347,7,0,256,1049
744000,13,9,2404,3,0,598,8932
744000,15,7,1601,3,0,158,1482
744000,18,9,4781,79,0,714,11034
745000,1,9,4367,6110,1000,1000,6124476
745000,4,9,4425,58,0,453,6499
745000,6,9,293,25,0,83,246
745000,8,9,2118,25,0,239,2385
745000,10,9,4835,18,0,362,3155
745000,13,9,4801,54,0,579,8698
745000,15,7,4754,17,0,158,1480
745000,18,9,4757,80,0,734,11383
746000,1,9,3789,6107,1000,1000,6125524
746000,4,9,4794,58,0,506,7406
746000,6,9,407,37,0,247,634
746000,8,9,907,41,0,263,1445
746000,10,9,4802,20,0,298,3749
746000,13,9,4804,48,0,554,8297
